,pointA_latitude,pointA_longitude,pointB_latitude,pointB_longitude,path_segment_ID,sub_segment_length
11,-35.182137553580205,149.09864033137734,-35.18222423670666,149.09866682814678,r3dpbg634nhntzk9jr3dpbg62dwpcwhs61,9.934982759712634
12,-35.18222423670666,149.09866682814678,-35.182336200612355,149.09869329787173,r3dpbg62dwpcwhs61r3dpbg62535tv8p4p,12.68010307034031
13,-35.182336200612355,149.09869329787173,-35.1824553616613,149.0987374498443,r3dpbg62535tv8p4pr3dpbg4rk6uwgjxrn,13.844363271250966
14,-35.1824553616613,149.0987374498443,-35.183089938665304,149.0989958536181,r3dpbg4rk6uwgjxrnr3dpbg4edktm8bzw5,74.36709813329676
15,-35.183089938665304,149.0989958536181,-35.183278698834535,149.09907274251205,r3dpbg4edktm8bzw5r3dpbg4ds1qxe8upf,22.12180106656171
17,-35.18075137317842,149.09799162553446,-35.181750265544856,149.0984705198616,r3dpbg9c7087x5tw8r3dpbg65qnmsfp9ns,119.29473136887007
23,-35.17597291002465,149.13456966721267,-35.17601571971109,149.13443976626783,r3dpcskmp77h30rc0r3dpcskku76hvsmyw,12.73009717788466
24,-35.17601571971109,149.13443976626783,-35.176055354468886,149.1342421876532,r3dpcskku76hvsmywr3dpcskhxsnb7q8vd,18.490653509251256
25,-35.176055354468886,149.1342421876532,-35.17606945814693,149.13402475652273,r3dpcskhxsnb7q8vdr3dpcskhd9ksr4mqg,19.824256216200936
26,-35.17606945814693,149.13402475652273,-35.176060463968845,149.1337875865474,r3dpcskhd9ksr4mqgr3dpcs7ut55cup66b,21.579361618027733
27,-35.176060463968845,149.1337875865474,-35.17607686662592,149.1336125846052,r3dpcs7ut55cup66br3dpcs7u9012hk78f,16.010004474010362
57,-35.18304704156136,149.14200588293548,-35.18351932492994,149.1420333816581,r3dpcg1gusevkm2qer3dpcg1cjk8khkmpb,52.57494491191815
72,-35.19245164418342,149.050410682255,-35.1924319504877,149.05041319754815,r39zz9rjn798c8ux9r39zz9rjnr5qm8m07,2.201735185954781
73,-35.1924319504877,149.05041319754815,-35.192329966536185,149.05042725440717,r39zz9rjnr5qm8m07r39zz9rjydjyt5dpp,11.411812720913389
87,-35.19204719157942,149.05042760617818,-35.19200154488177,149.05041918422285,r39zz9rpqwyjmmyufr39zz9rpwrrvsx21p,5.133054161813895
88,-35.19200154488177,149.05041918422285,-35.191983520437134,149.05041610101685,r39zz9rpwrrvsx21pr39zz9rpy6v94zyj9,2.0237151722062348
89,-35.191983520437134,149.05041610101685,-35.19159208159018,149.05032823669305,r39zz9rpy6v94zyj9r39zz9x4h7u062tmb,44.25227687897885
90,-35.19159208159018,149.05032823669305,-35.191164003592526,149.05024705202302,r39zz9x4h7u062tmbr39zz9xhd7x9c72sx,48.168411935082126
91,-35.420886341256285,149.1139421425964,-35.4208436444963,149.11381222399297,r3dn3pv6qsnn9rd8mr3dn3pv6esjjmmg35,12.69380258865667
92,-35.42134674085173,149.10263382499895,-35.421349574199326,149.1026410398854,r3dn2ztpxnmuq758qr3dn2ztpxmg76w0th,0.7257233965683042
93,-35.421349574199326,149.1026410398854,-35.4213574467652,149.1026582797825,r3dn2ztpxmg76w0thr3dn2ztpxu2hmzkhk,1.7907272073208356
111,-35.42151437521067,149.1029792959624,-35.421517156666226,149.1029953189149,r3dn2ztqxpps3eeznr3dn2ztqxwe7zby2c,1.4844782165513988
112,-35.421517156666226,149.1029953189149,-35.42151769238699,149.10300181550872,r3dn2ztqxwe7zby2cr3dn2ztqxy82dfwb2,0.5916878410083286
113,-35.42151769238699,149.10300181550872,-35.42151881131588,149.10301167086632,r3dn2ztqxy82dfwb2r3dn2ztqxyr9yhgvd,0.901657693253259
114,-35.42151881131588,149.10301167086632,-35.42151991725785,149.1030383166484,r3dn2ztqxyr9yhgvdr3dn2ztw8w5e3cv1y,2.417607289286448
115,-35.42151991725785,149.1030383166484,-35.421521079542245,149.10305037408185,r3dn2ztw8w5e3cv1yr3dn2ztw8vus3egwk,1.1001881187186182
116,-35.421521079542245,149.10305037408185,-35.42151707975891,149.10309474024268,r3dn2ztw8vus3egwkr3dn2ztw9ytshprqt,4.044716784758361
117,-35.42151707975891,149.10309474024268,-35.421479173880805,149.103338625446,r3dn2ztw9ytshprqtr3dn2ztwzteqre1ys,22.497749842856127
386,-35.458639159876924,149.09105926587432,-35.45848991310251,149.09106286062388,r3dn28uy3qx66su14r3dn28uz3d6h8qhgg,16.598677620926416
387,-35.45848991310251,149.09106286062388,-35.458296686306014,149.09106685136697,r3dn28uz3d6h8qhggr3dn29hb3wkvrdevz,21.488879549929525
389,-35.458256717818216,149.09106521382154,-35.45822684094554,149.09106678084555,r3dn29hb9tggb81tkr3dn29hbcekvvzq1h,3.3251870402025565
390,-35.45822684094554,149.09106678084555,-35.458069169889825,149.09106777823243,r3dn29hbcekvvzq1hr3dn29hcc8vdt8xwv,17.5324542043729
394,-35.45780781595554,149.09106321848253,-35.45773571926789,149.09106055715984,r3dn29hg39d38cyhdr3dn29hg9wbr9knpc,8.020408866603937
