,path_type,path_surf,ave_width,seg_length,suburb,owner,type,coordinates
81,CYCLEPATH,BITUMEN,2.5,24.11545,AMAROO,ROADS_ACT,MultiLineString,"[[149.12482362501234, -35.17695800091904], [149.12481244481404, -35.177008392939385], [149.12480556675655, -35.17703489702785], [149.12481021458206, -35.17706139012856], [149.12483798252785, -35.17709736965295], [149.12489568437493, -35.17714846206322]]"
82,CYCLEPATH,BITUMEN,2.5,48.4071,AMAROO,ROADS_ACT,MultiLineString,"[[149.12486664334014, -35.176523048860815], [149.12482411891455, -35.17695795538432]]"
97,CYCLEPATH,BITUMEN,2.5,39.44016,AMAROO,ROADS_ACT,MultiLineString,"[[149.11752556086643, -35.17006713199775], [149.11758563718317, -35.170053423942335], [149.11764380568087, -35.170008172850636], [149.11782587266254, -35.16982234666101]]"
170,CYCLEPATH,BITUMEN,2.5,34.26714,NICHOLLS,ROADS_ACT,MultiLineString,"[[149.0984705198616, -35.181750265544856], [149.0986005946101, -35.182040064903504]]"
172,CYCLEPATH,BITUMEN,2.5,151.13926,NICHOLLS,ROADS_ACT,MultiLineString,"[[149.0986005946101, -35.182040064903504], [149.09864033137734, -35.182137553580205], [149.09866682814678, -35.18222423670666], [149.09869329787173, -35.182336200612355], [149.0987374498443, -35.1824553616613], [149.0989958536181, -35.183089938665304]]"
172,CYCLEPATH,BITUMEN,2.5,151.13926,NICHOLLS,ROADS_ACT,MultiLineString,"[[149.0989958536181, -35.183089938665304], [149.09907274251205, -35.183278698834535], [149.09908060631867, -35.18334164706393]]"
195,CYCLEPATH,BITUMEN,2.5,129.72735,NICHOLLS,ROADS_ACT,MultiLineString,"[[149.09799162553446, -35.18075137317842], [149.0984705198616, -35.181750265544856]]"
195,CYCLEPATH,BITUMEN,2.5,129.72735,NICHOLLS,ROADS_ACT,MultiLineString,"[[149.09794893544193, -35.18066231335577], [149.09799162553446, -35.18075137317842]]"
248,CYCLEPATH,PAVERS OR CONCRETE BLOCKS,2.5,190.68929,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.13471994364002, -35.17590313093461], [149.1346373056218, -35.175950623603754], [149.13456966721267, -35.17597291002465]]"
248,CYCLEPATH,PAVERS OR CONCRETE BLOCKS,2.5,190.68929,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.13514786743661, -35.17561139457335], [149.1349081408668, -35.1757950080895], [149.13471994364002, -35.17590313093461]]"
248,CYCLEPATH,PAVERS OR CONCRETE BLOCKS,2.5,190.68929,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.13456966721267, -35.17597291002465], [149.13443976626783, -35.17601571971109], [149.1342421876532, -35.176055354468886], [149.13402475652273, -35.17606945814693], [149.1337875865474, -35.176060463968845], [149.1336125846052, -35.17607686662592], [149.13352506850126, -35.176093179365566], [149.13348268354628, -35.176083939663805], [149.13343751359943, -35.176083985950726], [149.13341494343155, -35.17611181345927], [149.1334234857986, -35.17613501258378], [149.1334517211089, -35.1761512066362], [149.13348842832124, -35.17614422918762], [149.13350814440918, -35.17611635952753], [149.1335210133524, -35.176097329395965]]"
250,CYCLEPATH,BITUMEN,2.5,141.5199,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14189323138538, -35.1808042498727], [149.14190197922952, -35.18081699335436], [149.14197814775656, -35.180874907078625], [149.14203169556794, -35.180894721563824]]"
250,CYCLEPATH,BITUMEN,2.5,141.5199,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14165393231514, -35.18043881877068], [149.14189323138538, -35.1808042498727]]"
250,CYCLEPATH,BITUMEN,2.5,141.5199,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14203169556794, -35.180894721563824], [149.1420923831335, -35.1809171869644], [149.14227451112097, -35.18095713905821], [149.14236696391583, -35.18097042150297], [149.14245122361584, -35.18100827265138], [149.14250295307147, -35.181057290267084], [149.14252485243625, -35.18115766832954], [149.1425141302498, -35.18124695150018], [149.1424952845406, -35.18133619853551]]"
254,CYCLEPATH,BITUMEN,2.5,279.51849,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14195637638335, -35.18365743962183], [149.14193998994577, -35.18367318482077], [149.14184640178013, -35.183706228862796], [149.14178617895956, -35.18370079694973]]"
254,CYCLEPATH,BITUMEN,2.5,279.51849,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.1423023842586, -35.182400276439544], [149.142225796618, -35.18255799361673], [149.1421256742163, -35.182689914995485], [149.14205903378996, -35.18282179960582], [149.14201906031772, -35.18294815718677], [149.14200588293548, -35.18304704156136], [149.1420333816581, -35.18351932492994], [149.14202011357236, -35.18359621827205], [149.14195637638335, -35.18365743962183]]"
254,CYCLEPATH,BITUMEN,2.5,279.51849,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14246855173522, -35.18143577384476], [149.14245818824688, -35.181475801884766], [149.14237144234576, -35.181596713222355], [149.14231813210003, -35.181723085574625], [149.14229822191388, -35.18183297295777], [149.14231850783628, -35.18195376671314], [149.14233877475593, -35.182096551613135], [149.14233899837052, -35.18223381567048], [149.1423058306522, -35.18239315257776], [149.1423023842586, -35.182400276439544]]"
254,CYCLEPATH,BITUMEN,2.5,279.51849,GUNGAHLIN,ROADS_ACT,MultiLineString,"[[149.14247815192482, -35.18139890110828], [149.14246855173522, -35.18143577384476]]"
300,CYCLEPATH,BITUMEN,2.5,2.20881,DUNLOP,ROADS_ACT,MultiLineString,"[[149.01443334840516, -35.19732086343127], [149.01445530854085, -35.19732928940612]]"
308,CYCLEPATH,CONCRETE,2.5,146.39221,FRASER,ROADS_ACT,MultiLineString,"[[149.050408769974, -35.192469670317436], [149.050410682255, -35.19245164418342], [149.05041319754815, -35.1924319504877], [149.05042725440717, -35.192329966536185], [149.05042894823248, -35.19231419366135], [149.05043031295605, -35.1922989616625], [149.0504323288055, -35.19226858803372], [149.05043368729105, -35.19224096351418], [149.0504345523061, -35.1922145108183], [149.05043503332456, -35.192188599016966], [149.0504352395707, -35.19216210148021], [149.05043467560262, -35.1921322694889], [149.05043383826924, -35.19210464571228], [149.05043295116639, -35.19208720635309], [149.0504312414723, -35.19207143463], [149.05042969843788, -35.192059583394084], [149.05042760617818, -35.19204719157942], [149.05041918422285, -35.19200154488177], [149.05041610101685, -35.191983520437134], [149.05032823669305, -35.19159208159018], [149.05024705202302, -35.191164003592526]]"
309,CYCLEPATH,CONCRETE,2.5,12.71726,CHISHOLM,ROADS_ACT,MultiLineString,"[[149.1139421425964, -35.420886341256285], [149.11381222399297, -35.4208436444963]]"
310,CYCLEPATH,BITUMEN,2.5,119.68855,RICHARDSON,ROADS_ACT,MultiLineString,"[[149.10263382499895, -35.42134674085173], [149.1026410398854, -35.421349574199326], [149.1026582797825, -35.4213574467652], [149.1026667077061, -35.42136194646985], [149.10268168991468, -35.42136928002808], [149.10271661403704, -35.421388404451456], [149.1027297238617, -35.42139515364138], [149.10280062328678, -35.42143786277492], [149.10281323767188, -35.42144461233807], [149.10284331485698, -35.4214615324282], [149.10287124242413, -35.42147615600992], [149.10287983484577, -35.4214800697671], [149.102888591794, -35.421483442652914], [149.10290252610275, -35.42148906463808], [149.1029145880686, -35.421494147324296], [149.10292664930546, -35.42149859914223], [149.1029481275295, -35.42150592764877], [149.10295743431053, -35.42150871429905], [149.1029698246547, -35.42151212943295], [149.1029792959624, -35.42151437521067], [149.1029953189149, -35.421517156666226], [149.10300181550872, -35.42151769238699], [149.10301167086632, -35.42151881131588], [149.1030383166484, -35.42151991725785], [149.10305037408185, -35.421521079542245], [149.10309474024268, -35.42151707975891], [149.103338625446, -35.421479173880805], [149.10336152316913, -35.421476317205844], [149.10337456752575, -35.421474053981626], [149.1033840335967, -35.42147179353408], [149.1034058821042, -35.42146614382269], [149.10344335840048, -35.42145484922072], [149.1034587116198, -35.42144979035112], [149.10347709188085, -35.421444098259485], [149.10352507492718, -35.421426036169755], [149.10353987631768, -35.42141985116936], [149.10355445682106, -35.42141308053321], [149.10357459479457, -35.42140405247313], [149.10359693215523, -35.42139276959934], [149.1036163524652, -35.42138202973547], [149.10368787273757, -35.42134313062511], [149.10369920655356, -35.421337489049456], [149.10371351177628, -35.42133071860827], [149.10375164267532, -35.421314376458], [149.10376369340182, -35.42130981580495], [149.1037757448641, -35.42130588601782], [149.10379429027353, -35.42130023881064], [149.10380689286916, -35.42129684933437], [149.10381960619665, -35.42129400051416], [149.10383336484887, -35.4212906101334]]"
